Id,Id2,census.tract,median_age,married,high_school_and_higher,mean_income,Unemployment_rate,median_rent
1400000US36061000201,36061000201,"Census Tract 2.01, New York County, New York",40.30,35.60,55.10,36150.00,1.00,654.00
1400000US36061000202,36061000202,"Census Tract 2.02, New York County, New York",44.10,40.40,72.40,47231.00,17.30,621.00
1400000US36061000600,36061000600,"Census Tract 6, New York County, New York",46.30,43.20,47.90,34174.00,14.70,589.00
1400000US36061000700,36061000700,"Census Tract 7, New York County, New York",28.90,33.30,96.00,168524.00,4.10,2800.00
1400000US36061000800,36061000800,"Census Tract 8, New York County, New York",45.60,52.20,44.10,40281.00,13.50,906.00
1400000US36061000900,36061000900,"Census Tract 9, New York County, New York",33.30,53.50,97.30,243368.00,2.80,2800.00
1400000US36061001001,36061001001,"Census Tract 10.01, New York County, New York",42.70,44.80,96.50,112876.00,13.00,1419.00
1400000US36061001002,36061001002,"Census Tract 10.02, New York County, New York",39.10,22.20,59.10,29885.00,22.20,420.00
1400000US36061001200,36061001200,"Census Tract 12, New York County, New York",46.60,37.70,77.30,76794.00,4.60,669.00
1400000US36061001300,36061001300,"Census Tract 13, New York County, New York",30.50,32.00,99.70,157919.00,6.30,2800.00
1400000US36061001401,36061001401,"Census Tract 14.01, New York County, New York",46.00,46.10,91.20,121426.00,5.90,1972.00
1400000US36061001402,36061001402,"Census Tract 14.02, New York County, New York",38.60,31.60,76.90,55414.00,6.40,794.00
1400000US36061001501,36061001501,"Census Tract 15.01, New York County, New York",45.00,37.20,84.30,134570.00,7.30,1050.00
1400000US36061001502,36061001502,"Census Tract 15.02, New York County, New York",27.90,28.70,99.00,168598.00,2.50,2800.00
1400000US36061001600,36061001600,"Census Tract 16, New York County, New York",41.00,47.20,63.50,58746.00,6.20,972.00
1400000US36061001800,36061001800,"Census Tract 18, New York County, New York",36.20,36.30,64.70,71089.00,5.70,1251.00
1400000US36061002000,36061002000,"Census Tract 20, New York County, New York",42.00,17.00,60.90,25258.00,14.50,400.00
1400000US36061002100,36061002100,"Census Tract 21, New York County, New York",34.60,53.10,98.00,427216.00,3.20,2800.00
1400000US36061002201,36061002201,"Census Tract 22.01, New York County, New York",40.20,31.10,74.10,56592.00,13.10,971.00
1400000US36061002202,36061002202,"Census Tract 22.02, New York County, New York",33.10,25.80,87.80,147957.00,4.30,2800.00
1400000US36061002400,36061002400,"Census Tract 24, New York County, New York",44.00,34.60,59.70,56727.00,11.70,605.00
1400000US36061002500,36061002500,"Census Tract 25, New York County, New York",41.80,33.40,55.50,29114.00,12.60,436.00
1400000US36061002601,36061002601,"Census Tract 26.01, New York County, New York",37.90,31.20,72.30,85446.00,9.10,912.00
