Name,Address,State,Full Address,"Lat, Lng",lat, lng
1st Precinct ,16 Ericsson Place,NY,"16 Ericsson Place,NY","40.7204659, -74.0068444",40.7204659,-74.0068444
5th Precinct ,19 Elizabeth Street,NY,"19 Elizabeth Street,NY","40.7161816, -73.9974633",40.7161816,-73.9974633
6th Precinct ,233 West 10 Street,NY,"233 West 10 Street,NY","40.7341183,-74.0053903",40.7341183,-74.0053903
7th Precinct ,19 1/2 Pitt Street,NY,"19 1/2 Pitt Street,NY","40.7162871, -73.9837703",40.7162871,-73.9837703
9th Precinct ,321 East 5 Street,NY,"321 East 5 Street,NY","40.7265384,-73.98782",40.7265384,-73.98782
10th Precinct ,230 West 20th Street,NY,"230 West 20th Street,NY","40.7426975, -73.9986493454647",40.7426975,-73.99864935
13th Precinct ,230 East 21st Street,NY,"230 East 21st Street,NY","40.7367396, -73.9827007",40.7367396,-73.9827007
Midtown So. Pct.,357 West 35th Street ,NY,"357 West 35th Street ,NY","40.7538182, -73.9949851",40.7538182,-73.9949851
17th Precinct ,167 East 51st Street,NY,"167 East 51st Street,NY","40.7567621, -73.9707859",40.7567621,-73.9707859
Midtown No. Pct.,306 West 54th Street,NY,"306 West 54th Street,NY","40.7649371, -73.9850825",40.7649371,-73.9850825
19th Precinct ,153 East 67th Street,NY,"153 East 67th Street,NY","40.7672075, -73.9638965",40.7672075,-73.9638965
20th Precinct ,120 West 82nd Street,NY,"120 West 82nd Street,NY","40.7841202, -73.9750749",40.7841202,-73.9750749
Central Park Pct,86th St & Transverse Road ,NY,"86th St & Transverse Road ,NY","40.7811505, -73.96175",40.7811505,-73.96175
23rd Precinct ,162 East 102nd Street,NY,"162 East 102nd Street,NY","40.757536, -73.8665699",40.757536,-73.8665699
24th Precinct ,151 West 100th Street,NY,"151 West 100th Street,NY","40.7964007, -73.9673623",40.7964007,-73.9673623
25th Precinct ,120 East 119th Street,NY,"120 East 119th Street,NY","40.8006901, -73.9411178915384",40.8006901,-73.94111789
26th Precinct ,520 West 126th Street,NY,"520 West 126th Street,NY","40.81469, -73.956535841534",40.81469,-73.95653584
28th Precinct ,2271-89 8th Avenue,NY,"2271-89 8th Avenue,NY","40.7402338,-74.00219799999999",40.7402338,-74.002198
30th Precinct ,451 West 151st Street,NY,"451 West 151st Street,NY","40.8288745, -73.9437776290982",40.8288745,-73.94377763
32nd Precinct ,250 West 135th Street,NY,"250 West 135th Street,NY","40.8157476, -73.9453969",40.8157476,-73.9453969
33rd Precinct ,2207 Amsterdam Avenue,NY,"2207 Amsterdam Avenue,NY","40.8405867, -73.9357365331608",40.8405867,-73.93573653
34th Precinct ,4295 Broadway,NY,"4295 Broadway,NY","40.85152715, -73.9353730640907",40.85152715,-73.93537306
40th Precinct ,257 Alexander Avenue,NY,"257 Alexander Avenue,NY","40.8104993043478, -73.9249388695652",40.8104993,-73.92493887
41st Precinct ,1035 Longwood Avenue,NY,"1035 Longwood Avenue,NY","40.8163385, -73.8956743982303",40.8163385,-73.8956744
42nd Precinct ,830 Washington Avenue,NY,"830 Washington Avenue,NY","40.8224393, -73.9113094",40.8224393,-73.9113094
43rd Precinct ,900 Fteley Avenue,NY,"900 Fteley Avenue,NY","40.822877, -73.8698072",40.822877,-73.8698072
44th Precinct ,2 East 169th Street,NY,"2 East 169th Street,NY","40.8376206, -73.9195052",40.8376206,-73.9195052
45th Precinct ,2877 Barkley Avenue,NY,"2877 Barkley Avenue,NY","40.8308431, -73.8273227133893",40.8308431,-73.82732271
46th Precinct ,2120 Ryer Avenue,NY,"2120 Ryer Avenue,NY","40.8540266, -73.9001012886186",40.8540266,-73.90010129
47th Precinct ,4111 Laconia Avenue,NY,"4111 Laconia Avenue,NY","40.8875027, -73.8475126",40.8875027,-73.8475126
