name,address,lat,lng,id,place_id
711,"471 McLean Avenue, Yonkers",40.9105034,-73.8825079,eb5a152107c61bfb18c58971f14933775877821a,ChIJZ2D-0PDywokRGE8RYL-O4rc
#1 Sabor Latino Restaurant,"4120 White Plains Road, Bronx",40.891124,-73.8582972,a4ce4985167f690eb8ebecb840e1b735ca7dbb7d,ChIJo4cYeifzwokR47ZEx-0_7GY
1 Wood Spoon,"377 Avenue X, Brooklyn",40.5908733,-73.9690144,f921eaa39d5c1a7d57735a4e179a81ec53dc0270,ChIJSV33mVlEwokR7bWywRUPW78
11 B Express,"174 Avenue B, New York",40.7274819,-73.9798314,a63e9d3bcd7e62c079afd7225d44c14d9e9135d4,ChIJ_aji_XZZwokRtSOhfy6vUxM
114 East China USA Corporation,"5707 Main Street, Flushing",40.7461846,-73.8258294,ab11a4f64a94002e3a531c236a8842e11465f311,ChIJ--xWk25gwokRm73TOclJK5c
121 Fulton Street,"121 Fulton Street, New York",40.7100897,-74.0070712,b1733281d3576f277795aea949e271ebc766aa2c,ChIJtW1VDBhawokRROCaan6t9sc
123 Burger Shot Beer,"738 10th Avenue, New York",40.7647914,-73.9914148,a336e4a5fd1f1eb9c1319565a4f1968eab3cfdc5,ChIJxZYM81BYwokRR5OMRFkwgiY
125 Mi Casa Restaurant Corporation,"125 Nagle Avenue, New York",40.8606262,-73.926708,3823b50eea644c1b520d1f60fd037a57a051df5c,ChIJq2XeeAb0wokR6zp4PXtA7N8
12th St Bar & Grill,"1123 8th Avenue, Brooklyn",40.6639317,-73.9804175,70ec3bab6bb4e67b10e1062b9f2ff1994d3df6ac,ChIJLRFmGx1bwokRTnZmNjBRaF8
137 Broadway,"3371 Broadway, New York",40.8213814,-73.9547073,c2f283a824b66a8e33710cbc9ed79991ebd85c34,ChIJnZqtE2b2wokRYBe1ctzzKJU
15 East,"15 E 15th St, New York, NY 10003, 15 East 15th Street, New York",40.7364136,-73.992128,8d36b27e3630ac8c6db7c7066e48e9757e856f78,ChIJ55Xnd5hZwokREHfJlD3-M10
1560 Chicken Enterprise Inc,"1560 Broadway, Brooklyn",40.6858686,-73.9160623,f84162fd9eba21171cd6fe087c7231babb25379c,ChIJ872QLWtcwokR7kaprHhY1Tc
162 D & Y Corporation,"16205 Crocheron Avenue, Flushing",40.7626034,-73.8033854,b3ca84c83d0b3a44871f366b649afb949b1a03e4,ChIJ31Jl5y5gwokRTJk2NDdAskA
1645 Grand Supermarket Corporation,"1645 Grand Avenue, Bronx",40.8472355,-73.9151435,b61949fe9c95fd57160d9c4daef4365f7c282099,ChIJZd9g9xT0wokRCBVIqTKdW3I
167 Java LLC,"5311 69th Street, Maspeth",40.7310088,-73.8954678,acc7cbae92dc211cdf0be3684b67558f29772c9d,ChIJl_Wwz_BewokRYQZxT4mKxfU
169 Bar,"169 East Broadway, New York",40.7138251,-73.9897481,ee860efdcd0816dcab0847659eb501940d57d408,ChIJVeXRdylawokRJYXkLU8yMpE
18 gun hill pizza,"18 East Gun Hill Road, Bronx",40.8821879,-73.8807379,4a906b849641d1d3df022580b608c27eec40d670,ChIJPbKlSAzzwokRuIl7Xfnxu38
187th St Pizza,"689 East 187th Street, Bronx New York",40.8544527,-73.8848531,74be2854c72a23a54ae8eeb530d4a849120aec06,ChIJLe6cy4b0wokRe5TjD0_wYvs
188 Bakery Cuchifrito's,"158 East 188th Street #1, Bronx",40.8615661,-73.8983767,335657d6ab829f5fe453a1d1faeff2313d23d8bc,ChIJpxMVh4fzwokREgfgMcNN-x8
197 Chicken Corporation,"19702 Hillside Avenue, Hollis",40.7182021,-73.7649483,78e1b0fbeb63043992c2addb8767145fb2364ac9,ChIJSyIqWHFhwokRv33vKmqSj-Q
1st Avenue Gourmet,"1274 1st Avenue #1, New York",40.7654498,-73.9573816,79db9f61a002568dbc9ad3b10f51080d7da6f2a3,ChIJeQisO8JYwokR5RJ95csAF7M
2 In 1,"2108 Flatbush Avenue, Brooklyn",40.6183915,-73.9326047,e3b929f0e8b65b947ed463486c985f58d1ec3598,ChIJ-XleyVlDwokRDfrzvhy75tw
2 Paradise Restaurant & Hookah Cafe,"700 Rhinelander Avenue, Bronx",40.8473347,-73.8666243,9090a362e9609da3b987ab9e46253257ab80ffd9,ChIJY-rrHpj0wokRSxqWR6vu4m0
200 Fifth,"200 5th Avenue, Brooklyn",40.6767557,-73.9804361,19731fc3c036e180e61c205e32224c4a39c2c524,ChIJyblvi6pbwokRQwmF1jYvT1w
2004 Viva Mexico Inc,"3913 5th Avenue, Brooklyn",40.6508893,-74.0041081,34a6af3ed2c5c511b194aa3e00452dee10d27f39,ChIJAUQ7scdawokRA-qeL92zJU4
21 Club,"21 West 52nd Street, New York",40.760533,-73.977397,5d08e57330ecc48a64e63ddd5bc0ba93ffad577a,ChIJpZepXflYwokRNuSe6xAwprw
212 Restaurant and Bar,"133 East 65th Street, New York",40.7663461,-73.9656651,b7b7edcfdc17ec967d04fe43ef95576ac5fd137d,ChIJQWQgtu5YwokRLuHARuJ6WGQ
230 Fifth,"230 5th Avenue, New York",40.7441072,-73.988109,dd500ef78edbe563581a089caa40dd19d28e7d1f,ChIJlavnZaZZwokRyVjM2B8LIkE
231st Cafee & Restaurant,"4156 White Plains Road, Bronx",40.8922164,-73.8576664,f3a561a8814d68466a1f8763b34eb68234a60626,ChIJP07F4CbzwokR_LM00AEBdMQ
24/7 Gourmet Deli Bronx,"976 Longwood Avenue, Bronx",40.8171744,-73.897951,70cf6ecf717b6ce3822d6b0b0c1ab51bd60c434a,ChIJq2W31K31wokRJmGYFQ9Vuh4
241st Street Cafe Restaurant,"4703 White Plains Road, Bronx",40.9037044,-73.8503946,8f34e0d3c3ac7eacdd49d1a310a3561490d329a2,ChIJ_ZrG1tHywokR-DmMi-WWMjw
26 Seats Bistro,"168 Avenue B, New York",40.727267,-73.9799315,bbbfe2fe5fea17cde04a0466025aadb365db0778,ChIJQ8NvAXdZwokRbAFFPO6UHrA
27 Sport Bar & Cafe Inc,"2 East Mount Eden Avenue, Bronx",40.8443529,-73.9149722,a5223439caacf60c1e0136aa91d40c76d1bc6812,ChIJYWtwfRX0wokRaLNya-8lz0o
2776 Daniels Restaurant Corporation,"2776 Webster Avenue, Bronx",40.8659746,-73.8855612,bf73420d07e95bf002e2f14afe0b88e4f19b6183,ChIJg8AzSIDzwokRZoe_yFVf704
2918 Union St Inc,"2918 Union Street, Flushing",40.7717369,-73.8268227,a9ef7e674c43eaf9e9716ac0b561eccfecf16264,ChIJrUM6mh1gwokRiwxvfo-6WvA
2nd Ave Deli,"1442 1st Avenue, New York",40.769546,-73.954386,775201ee5fb263126a12c18414e523b53064db0f,ChIJf2oHyMBYwokR_tIsXhKkGd8
2nd Ave Deli,"162 East 33rd Street, New York",40.7451911,-73.9791699,cbe0d898f793cc65c2394e888dd9000500e752bf,ChIJt7eiMQZZwokRZgq-ovGJhxc
3 Alarm Deli,"45-15 28th Avenue, Astoria",40.7634963,-73.9089665,2944e52e7f4dcf9459362b91dd9ac85c5c183578,ChIJ-yPy2xRfwokRvhzcV1TLUGA
3 Esquinas,"657 Flushing Avenue, Brooklyn",40.7002584,-73.9470341,9293cf9afd669b4f9e4b531263c4d8c5a7da333f,ChIJdWQHBvBbwokRMqhnjffYxTw
3 Greeks Grill,"35-61 Vernon Boulevard, New York",40.7620521,-73.942254,9cde3fd291e14ffe22963583181bd4c0653cc407,ChIJuZFzhM5YwokRXl7xLs8oryE
3 Guys Sushi,"530 Forest Avenue, Staten Island",40.6301218,-74.1078115,9701fbb50bc253649767344a50a638904b28add3,ChIJ_Z_SF2xOwokRhJUmY-ikJko
3 Luigis,"273 Grand Avenue, Brooklyn",40.6884277,-73.9626586,49275d0dcbf6c039081185b373892b07976d448d,ChIJESzFhr5bwokRngWR6jYfyVc
31 Ave Stop Deli,"43-01 31st Avenue, Astoria",40.7603295,-73.914364,832aa4c11d574cb3130439247dd37f82ae63ab29,ChIJ2x_Mdz5fwokREx3N8YqE6U4
31st Avenue Gyro,"44-02 31st Avenue, Astoria",40.7596412,-73.913861,c748cf496c0962848afdd4f2b89afc3cbd3316f8,ChIJUemK5z1fwokRH7ttMZIIOBE
3388 Happy Dragon Corporation,"3388 Jerome Avenue, Bronx",40.8804282,-73.8835537,17b326d9c885e57fa6f95d0b18516b4fa16ee238,ChIJoeatZwvzwokR01XtBGJF-mE
3DS Castle Restaurant,"2228 Linden Boulevard, Brooklyn",40.6625945,-73.8805433,a55a319a90080f3b17efb682512c9418afde61ca,ChIJWdbhyaldwokRfeCMc6sUePI
3D'S Legacy Salad Bar & Grill,"445 Morris Park Avenue, Bronx",40.8405586,-73.8734521,8c07bcfd9e37ac42b5d48432e26301f84219f9ed,ChIJF_bTC5P0wokRKM3M3qdN9_0
3D'S Restaurant & Bakery,"403 Empire Boulevard, Brooklyn",40.6642056,-73.9489109,94f29b6e2f6c658847e66ebd25ca30e8a6927b3e,ChIJ1c3PjXBbwokRim4revTj68U
3E,"34-16 Broadway, Astoria",40.7604311,-73.9225626,f6d79bec65e683fa7e6cdfb079df7ebcfca2df27,ChIJu62nPjpfwokRbyOgQZnYgTE
3L Boulevard Pizzeria,"89-4 Queens Boulevard, Queens",40.7344175,-73.8747115,d290056521d5fc6f01a16e0b3541b5904d80de80,ChIJGRIseU5ewokRRRkWOEL7FDU
40th Avenue Foop Corporation,"1313 40th Avenue, Long Island City",40.7554966,-73.9413259,22191b4f551cc74d5be00dc7c2c51be5e2ab047c,ChIJMY0rjtNYwokRf_caOu2bz6Q
419 Myrtle Restaurant Corporation,"419 Myrtle Avenue, Brooklyn",40.6933388,-73.9689748,2ec3ebe11bf28a4a9995456b0e253455201cba5c,ChIJeXCwerhbwokRfEyE5sEc2ZI
42nd Street Restaurant and Pizza,"647 West 42nd Street, New York",40.7617947,-74.0000733,100cb54e06ed4d58f7a07824060944d287ad300e,ChIJnbALD0xYwokRX9Z_ygcuFPw
43 Bar & Grill,"43-06 43rd Street, Sunnyside",40.744899,-73.921418,d0d041b1d1f2369468cecfa464910811f14c06ff,ChIJA-BI9dhewokREjqZ57Z9f2g
44 & X Hell's Kitchen,"622 10th Avenue, New York",40.7609923,-73.9942316,d89b87116678651916f0866aa0959dc9c5ee7b8d,ChIJrZfnCFJYwokRzlVY6t-M_cA
48 Street Cafe,"5502 48th Street, Maspeth",40.7291175,-73.9197388,675b5c25cef042f3baf86dcd4bc634615f21f30c,ChIJoyHW3cZewokR7SEaiXBZKCo
48th St Deli & Pizza,"4803 Ditmars Boulevard, Long Island City",40.7693339,-73.9007051,1c776f5e3ee8ea736a9a48918503a8bbc03a3991,ChIJqeQHIG5fwokRUrP86fwmVb0
49 St Deli & Coffee House,"682 11th Avenue, New York",40.7650762,-73.9949358,26876e92b469a8f626e8d94eb3d34d336f9c5334,ChIJw3z_209YwokRBhivhhBlRHg
5 Aces Restaurant,"523 Bruckner Boulevard, Bronx",40.8108313,-73.9020948,acfd8a958aab5395ace8158d2bfec789287c7e76,ChIJ0e4-w7r1wokRxY1YD01xUOE
5 Burro Cafe,"7205 Austin Street, Forest Hills",40.7194274,-73.8423996,ecdd3ec85c68d5a99053160a92a69697cd412efc,ChIJVykOpCBewokRVqNJ7N9mo4M
5 De Mayo,"108-9 53rd Avenue, Corona",40.7418612,-73.8565909,c0acdef3dec62807d2ad86ea23b368844eb25965,ChIJ5YwnF85fwokRhdmyZuBK2VE
5 Napkin Burger,"630 9th Avenue, New York",40.7601517,-73.991092,ad9a9fe0990be7684e825d893f96a8e397bb1215,ChIJ0-fPyVNYwokRxYSmqCZ-UYk
561 Southern Food,"561 Southern Boulevard # D, Bronx",40.8126164,-73.9031989,dd4e52882905ab1962b00b60d08e4d65504748a1,ChIJb3Nyg7r1wokRgG2yhM4T7Xs
57's All American Grill,"33-45 Francis Lewis Boulevard, Queens",40.766369,-73.789451,d6f74483a4c2ea4f3b6c439dcde0e5e1fa9cb071,ChIJ765F-9VhwokRPmILiQeVTBI
5816 Mosholu Restaurant Corporation,"5816 Mosholu Avenue, Bronx",40.9046589,-73.8969584,ab8be824c8eb547d1565eef3121255e27a6ae156,ChIJP3ZywVPywokRo9642J_Hnx8
5C Cafe,"68 Avenue C, New York",40.7226912,-73.9796353,6340a38bfb223b3c22fc39162751f98cd1795166,ChIJ7fVnqXlZwokRi6v1ivguMWE
5th Avenue Asian Taste,"718 5th Avenue, Brooklyn",40.6605091,-73.9945277,dee0fdeb4e913e0ea1c0a1c684856ec9efbcb002,ChIJbQBLKuZawokRsKEAdDAedKI
65 kuho Sushi &Hot Pot,"1703 65th Street, Brooklyn",40.620585,-73.992141,db59faa5fa4e6ab631eeb1394d7128bb198f6a86,ChIJ2RhrASNFwokRau39n5Z6QCY
67 Burger,"67 Lafayette Avenue, Brooklyn",40.6872964,-73.9758275,dc5ba19458e601a4b4681857bd5e27b2a2e4ccb9,ChIJx583nrFbwokR_pYHAh41NZk
67Burger,"234 Flatbush Avenue, Brooklyn",40.6804066,-73.9750807,3ad87b672a5e7de953a73e974230ea8f77322782,ChIJcc0Qz65bwokRxxzEac2v5Fk
69 Pizzeria,"49-17 69th Street, Woodside",40.7370444,-73.8957171,62aefc4d426e1e31f08e3303f6cf9c66a6afd821,ChIJi2aU7_tewokRCHLf-oCsUXM
7 Stars Coffee Shop,"132-9 14th Avenue, College Point",40.7868183,-73.8359544,1fe4f9e9e156d018c3038758fcf442f824d2c102,ChIJM-u0e7GKwokRZcp5_eyUuTY
