ATS_CODE,BORO,BORONUM,LOC_CODE,SCHOOLNAME,SCH_TYPE,MANAGED_BY,GEO_DISTRI,ADMIN_DIST,ADDRESS,STATE_CODE,ZIP,PRINCIPAL,PRIN_PH,FAX,GRADES,City,Full Address,"Lat, Lng",lat,lng
21K099 ,K,2,K099,P.S. 099 ISAAC ASIMOV,K-8,1,21,21,1120 EAST  10 STREET,NY,11230,GREGORY PIRRAGLIA,718-338-9201,718-951-0418,"PK,0K,01,02,03,04,05,06,07,08,SE",BROOKLYN,"1120 EAST  10 STREET,NY","???, ???",40.6214924,-73.9660062
21K100 ,K,2,K100,P.S. 100 THE CONEY ISLAND SCHOOL,Elementary,1,21,21,2951 WEST  3 STREET,NY,11224,Katherine A. Moloney,718-266-9477,718-266-7112,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"2951 WEST  3 STREET,NY","???, ???",40.5775643,-73.970807
22K109 ,K,2,K109,P.S. 109,K-8,1,22,22,1001 EAST  45 STREET,NY,11203,Joan Thomas,718-693-3426,718-693-3072,"0K,01,02,03,04,05,06,07,08,SE",BROOKLYN,"1001 EAST  45 STREET,NY","???, ???",40.6360513,-73.9330797
20K112 ,K,2,K112,P.S. 112 LEFFERTS PARK,Elementary,1,20,20,7115 15 AVENUE,NY,11228,Louise Verdemare (Alfano),718-232-0685,718-232-3609,"0K,01,02,03,04,05,SE",BROOKLYN,"7115 15 AVENUE,NY","???, ???",40.619415,-74.0005724
18K115 ,K,2,K115,P.S. 115 DANIEL MUCATEL SCHOOL,Elementary,1,18,18,1500 EAST  92 STREET,NY,11236,Denis Guerin,718-241-1000,718-209-1714,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"1500 EAST  92 STREET,NY","???, ???",40.6348511,-73.8978947
21K121 ,K,2,K121,P.S. 121 NELSON A. ROCKEFELLER,K-8,1,21,21,5301 20 AVENUE,NY,11204,LILLIAN CATALANO,718-377-8845,718-252-4075,"PK,0K,01,02,03,04,05,06,07,08,SE",BROOKLYN,"5301 20 AVENUE,NY","???, ???",40.6228761,-73.9787743
21K128 ,K,2,K128,P.S. 128 BENSONHURST,Elementary,1,21,21,2075 84 STREET,NY,11214,MARCIA ROBINS,718-373-5900,718-266-6254,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"2075 84 STREET,NY","???, ???",40.6049942,-73.9951343
22K134 ,K,2,K134,P.S. K134,Elementary,1,22,22,4001 18 AVENUE,NY,11218,DEBRA RAMSARAN,718-436-7200,718-854-4115,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"4001 18 AVENUE,NY","???, ???",40.6322837,-73.9732736
22K152 ,K,2,K152,SCHOOL OF SCIENCE & TECHNOLOGY,Elementary,1,22,22,725 EAST  23 STREET,NY,11210,Dr. Rhonda D. Farkas,718-434-5222,718-859-5965,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"725 EAST  23 STREET,NY","???, ???",40.7355074,-73.9752204
15K169 ,K,2,K169,P.S. 169 SUNSET PARK,Elementary,1,15,15,4305 7 AVENUE,NY,11232,JOSEPHINE SANTIAGO,718-853-3224,718-633-9621,"0K,01,02,03,04,05,SE",BROOKLYN,"4305 7 AVENUE,NY","???, ???",40.8266408,-73.9352535
20K176 ,K,2,K176,P.S. 176 OVINGTON,Elementary,1,20,20,1225 69 STREET,NY,11219,ELIZABETH CULKIN,718-236-7755,718-331-9188,"0K,01,02,03,04,05,SE",BROOKLYN,"1225 69 STREET,NY","???, ???",40.6247586,-74.0050738
20K180 ,K,2,K180,P.S. 180 HOMEWOOD,K-8,1,20,20,5601 16 AVENUE,NY,11204,GARY WILLIAMS,718-851-8070,718-853-9308,"PK,0K,01,02,03,04,05,06,07,08,SE",BROOKLYN,"5601 16 AVENUE,NY","???, ???",40.6265896,-73.9894638
20K186 ,K,2,K186,P.S. 186 DR. IRVING A GLADSTONE,Elementary,1,20,20,7601 19 AVENUE,NY,11214,Bayan (Ebeid) Cadotte,718-236-7071,718-331-9181,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"7601 19 AVENUE,NY","???, ???",40.6111062,-73.9945926
20K192 ,K,2,K192,P.S. 192 BROOKLYN,K-8,1,20,20,4715 18 AVENUE,NY,11204,LISET ISAAC,718-633-3061,718-871-8721,"PK,0K,01,02,03,04,05,06,07,08,SE",BROOKLYN,"4715 18 AVENUE,NY","???, ???",40.6289888,-73.9798624
22K197 ,K,2,K197,P.S. 197 BROOKLYN,Elementary,1,22,22,1599 EAST  22 STREET,NY,11210,Rosemarie Barbiere Nicolet*,718-377-7890,718-377-7505,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"1599 EAST  22 STREET,NY","???, ???",40.6125713,-73.9515546
20K204 ,K,2,K204,P.S. 204 VINCE LOMBARDI,Elementary,1,20,20,8101 15 AVENUE,NY,11228,Mrs. Marie Reilly,718-236-2906,718-232-9265,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"8101 15 AVENUE,NY","???, ???",40.6136795,-74.0063557
20K205 ,K,2,K205,P.S. 205 CLARION,Elementary,1,20,20,6701 20 AVENUE,NY,11204,BETH GRATER,718-236-2380,718-331-7299,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"6701 20 AVENUE,NY","???, ???",40.6148257,-73.9869986
21K209 ,K,2,K209,P.S. 209 MARGARET MEAD,K-8,1,21,21,2609 EAST  7 STREET,NY,11235,Frances Locurcio,718-743-1954,718-743-6361,"PK,0K,01,02,03,04,05,06,07,08,SE",BROOKLYN,"2609 EAST  7 STREET,NY","???, ???",40.5867695,-73.9614784
18K211 ,K,2,K211,I.S. 211 JOHN WILSON,Junior High-Intermediate-Middle,1,18,18,1001 EAST 100 STREET,NY,11236,Buffie Simmons-Peart,718-251-4411,718-241-2503,"06,07,08,SE",BROOKLYN,"1001 EAST 100 STREET,NY","???, ???",40.6431634,-73.8956577
21K212 ,K,2,K212,P.S. 212 LADY DEBORAH MOODY,Elementary,1,21,21,87 BAY  49 STREET,NY,11214,JOSEPHINE MARSELLA,718-266-4841,718-266-7080,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"87 BAY  49 STREET,NY","???, ???",40.5874946,-73.9856106
20K220 ,K,2,K220,J.H.S. 220 JOHN J. PERSHING,Junior High-Intermediate-Middle,1,20,20,4812 9 AVENUE,NY,11220,LORETTA WITEK,718-633-8200,718-871-7466,"06,07,08,SE",BROOKLYN,"4812 9 AVENUE,NY","???, ???",40.8726729,-73.9115537
20K223 ,K,2,K223,J.H.S. 223 THE MONTAUK,Junior High-Intermediate-Middle,1,20,20,4200 16 AVENUE,NY,11204,ANDREW FRANK,718-438-0155,718-871-7477,"06,07,08,SE",BROOKLYN,"4200 16 AVENUE,NY","???, ???",40.6349573,-73.9822565
21K226 ,K,2,K226,P.S. 226 ALFRED DE B.MASON,K-8,1,21,21,6006 23 AVENUE,NY,11204,SHERRY TANNENBAUM,718-256-1118,718-256-0384,"PK,0K,01,02,03,04,05,06,07,08,SE",BROOKLYN,"6006 23 AVENUE,NY","???, ???",40.7685284,-73.873142
75K231 ,K,2,K231,P.S. K231,K-8,1,20,75,5601 16 AVENUE,NY,11204,Christina Foti,718-853-1884,718-853-5388,"0K,01,02,03,04,05,06,07,08,SE",BROOKLYN,"5601 16 AVENUE,NY","???, ???",40.6265896,-73.9894638
22K234 ,K,2,K234,J.H.S. 234 ARTHUR W. CUNNINGHAM,Junior High-Intermediate-Middle,1,22,22,1875 EAST  17 STREET,NY,11229,SUSAN SCHAEFFER,718-645-1334,718-645-7759,"06,07,08,SE",BROOKLYN,"1875 EAST  17 STREET,NY","???, ???",40.6044374,-73.9551709
21K238 ,K,2,K238,P.S. 238 ANNE SULLIVAN,K-8,1,21,21,1633 EAST  8 STREET,NY,11223,Harla Joy Musoff-Weiss,718-339-4355,718-998-4351,"PK,0K,01,02,03,04,05,06,07,08,SE",BROOKLYN,"1633 EAST  8 STREET,NY","???, ???",40.6087872,-73.9645872
